product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
00210e41887c2a8ef9f791ebc780cc36,beleza_saude,56,3893,6,300,30,15,15
002159fe700ed3521f46cfcf6e941c76,fashion_calcados,55,344,3,1850,36,37,16
002959d7a0b0990fe2d69988affcbc80,moveis_decoracao,54,1750,3,2600,105,3,70
003128f981470c3e5a2e7445e4a771cd,esporte_lazer,59,1100,6,1550,16,10,16
0036bb031e69d915cd384d1b3838b5d3,ferramentas_jardim,53,866,3,200,18,5,13
004636c889c7c3dad6631f136b7fa082,utilidades_domesticas,46,647,1,550,30,10,25
008cff0e5792219fae03e570f980b330,esporte_lazer,59,1735,5,1550,40,20,20
009c09f439988bc06a93d6b8186dce73,perfumaria,39,991,3,150,20,20,20
00ab8a8b9fe219511dc3f178c6d79698,,,,,2100,50,30,30
00ba6d766f0b1d7b78a5ce3e1e033263,utilidades_domesticas,52,418,1,7850,28,62,28
00baba5b58e274d0332a0c8a0a66f877,perfumaria,27,406,4,200,18,7,12
00c744ca2f3b0e76ce227b146095d3f9,brinquedos,41,569,1,350,17,15,17
00d2add85b1f5aba6bb3d5d977314e25,casa_construcao,60,935,1,9050,56,26,28
00de7f393d962717eeeb2d7131a40dba,telefonia,47,816,2,300,16,5,12
00e040fed5fb843e28740181ddca3521,telefonia,58,477,3,400,17,4,12
00fefaf41156bb4b0d850fb27da97897,esporte_lazer,12,3231,3,100,20,18,18
0103208eb1ea5a1a7359c0251a65e37a,brinquedos,53,2209,7,1600,35,17,35
0105b5323d24fc655f73052694dbbb3a,pc_gamer,59,621,4,2839,19,16,18
010951987d78f9d52fbf50a43b690ba1,informatica_acessorios,55,441,1,1100,40,20,20
010f24a605e8431fc68562e597f80d63,informatica_acessorios,20,153,3,500,16,15,15
011967a30ceeaa86acb72e79664544ad,esporte_lazer,55,468,1,4100,17,105,12
011ae9863bd5b15e528a16dd8ceb4772,brinquedos,56,1784,6,1575,19,51,20
011be89e68e286ac07f51c22ecbb04aa,esporte_lazer,59,1301,6,450,25,15,28
013298e0648d412de0d65690045493bc,perfumaria,52,733,1,350,17,16,17
0134eb6b933b7ebc0f9e24ae5abefaa0,eletrodomesticos,58,290,1,1150,55,19,46
013ee64977aaa6b2b25475095162e0e9,cama_mesa_banho,40,519,2,1350,45,10,55
013fef6ee8c8f3ff998e8f0a950a0495,utilidades_domesticas,37,149,1,150,35,16,16
014a8a503291921f7b004a5215bb3c36,bebes,37,497,4,150,16,7,11
0152cb427657428c06633fce6d721da4,alimentos,57,606,3,150,22,4,17
0152f69b6cf919bcdaf117aa8c43e5a2,cama_mesa_banho,40,116,1,250,40,4,30
01586bfbe1d5449887f1cac4ad1fbd02,telefonia_fixa,47,330,1,125,17,6,13
015f06d7b83e5a6f7d1765fb5d8bdfa6,fashion_roupa_masculina,42,574,2,400,16,2,11
016711f78a6a87696645db0a6a834826,beleza_saude,14,1366,2,1150,27,22,39
0168e1b28d8e55a515928cf656eff0a4,automotivo,50,340,1,950,22,19,19
016becd5c493d3b3872aaa7294accf52,esporte_lazer,38,1662,1,1071,17,21,15
016cae136d358dcdacbd7ac9f1864c09,esporte_lazer,53,236,2,300,30,5,20
016f3b29107ed03252e477b08445cec4,automotivo,56,871,2,3500,25,5,25
017692475c1c954ff597feda05131d73,perfumaria,54,933,1,50,16,5,11
0176bf7839ab4e611dc01cdc3ef6f4e4,cool_stuff,49,330,1,1600,33,44,19
01847cb3f55acfd629641e58e38e561e,ferramentas_jardim,54,1231,6,800,17,10,12
0192191cc1bc83262d6667c54c2e048f,fashion_calcados,54,404,4,850,22,12,33
01a2ad2b54cd734f78cb817da7752d8b,perfumaria,44,280,1,430,19,14,12
01aa9c122bda45bcbf7edd32fbc36d23,moveis_decoracao,40,275,5,14700,100,55,16
01bd9be7c04525d23a4a901b4abbf56c,utilidades_domesticas,28,331,1,8150,40,11,40
01c9a70868bec5b748c67fcc26ce5895,brinquedos,39,601,2,750,30,17,30
01caf54032309b518a584331b8a673f6,malas_acessorios,45,223,1,800,46,10,32
01cf56cd6138b926a4802d16fc304149,eletronicos,43,3023,6,100,16,16,16
01cf7c4cffff8db0a1cbe612bd2d50a4,moveis_decoracao,53,371,1,800,40,5,11
01cf8c7364048b4b6ed0fe400667054d,brinquedos,42,241,1,1200,30,16,20
01d15932271068f9fd1f369b8449cac1,cool_stuff,51,751,5,4900,78,2,62
01d4157fd9738ea81038316ae4cfc192,cama_mesa_banho,52,228,1,355,34,21,40
01da7f08d8327e0b4fab7edaa0c417a4,telefonia,49,1019,3,350,16,3,11
01ef0716b68c8493434ad32430c24e18,cama_mesa_banho,59,641,2,1250,16,10,16
01f1608fbd6fc5b04308ff6157326e6d,telefonia,57,422,2,150,19,4,11
01f2d77d8a63937c77c7128ce4bd2ada,automotivo,60,753,2,650,60,6,33
01f76c07f91a533acd46cc6ab989be23,fashion_calcados,57,404,4,750,22,12,33
020a80cb704bf65f38761fcedf2af192,automotivo,35,1512,3,800,26,9,24
022649cdc8ef07dddfa3de3409647e00,construcao_ferramentas_ferramentas,56,286,1,825,21,16,16
024063adde9af865418b7da3dd897b98,esporte_lazer,53,710,1,450,20,9,14
02475368dfb38934fe55f574024fe1d7,relogios_presentes,55,569,5,250,16,2,11
0269bdfd3a4f3d384753cbadc1d742be,utilidades_domesticas,20,630,1,350,17,28,11
026b77b15418f2a8114dfb0026739be4,esporte_lazer,56,3161,1,378,21,14,14
02706657691ad03bacea6d0d0d69d13d,eletroportateis,49,1353,2,4550,23,54,25
027bb42a4ef22da4c7a80ecf9c60ba0c,telefonia,60,357,4,300,16,6,11
027cdd14a677a5834bc67a9789db5021,perfumaria,42,544,1,341,20,18,16
028b0b0277744a9eaa2c4f57c24dcb68,moveis_decoracao,39,677,1,13150,35,45,35
0292b46c30348496b1be04eeb440bdb5,,,,,400,38,22,15
02a3073438c0d024f60e34a05bd340c4,automotivo,51,732,1,850,41,45,11
02a60f0074f36110106a16d15267aad5,moveis_decoracao,50,401,1,450,32,2,22
02cd69fa0c8bfb37ca444168927c1e85,automotivo,44,871,1,750,16,15,11
02d5d374678728b3af7bd59ee012abb4,eletrodomesticos,54,174,1,100,18,8,13
02ed3b595447e948efc3eac897e4df0e,cama_mesa_banho,30,413,2,725,31,7,31
02fb2d61da1247bf732360ea76b16240,malas_acessorios,49,824,1,850,19,51,34
03078714f1e3f3758555f67ff35b4b01,utilidades_domesticas,54,153,1,600,16,16,16
0312536dd9e1c1b732d2b8ff5c3181d6,automotivo,56,838,2,600,35,5,35
033c52084417b98d716d863d8bd11fba,automotivo,56,1144,1,600,30,20,20
033fe931444d66d788d53aca5b7b22d5,,,,,200,16,19,11
034ecce08e1adf75b5fecf2faac7ed11,esporte_lazer,55,1392,1,550,16,16,16
0354c6a8cb8961e29b70e564b93861fe,ferramentas_jardim,59,2407,1,400,38,10,25
035a4019c8009b57768aa3c1e1ad63a3,moveis_decoracao,56,1472,3,1900,53,8,11
03613e666b3919a3e807eac45a8f2731,utilidades_domesticas,56,184,1,5400,36,15,29
0364c36f8e845e4d309c0a3accc04b1c,moveis_escritorio,47,1158,1,16800,63,58,24
036734b5a58d5d4f46b0616ddc047ced,telefonia,58,751,5,300,17,4,12
037aab5faf8d9120659b7c8ea3cf4c12,beleza_saude,29,2706,1,15500,55,40,40
03826ede2cac52b3011b58cfd58c84f9,utilidades_domesticas,58,398,3,6900,70,15,33
038e3a669bb495e56d9d609d874fb668,esporte_lazer,49,862,1,30000,105,70,20
03973c875a4653e663aede2c46a957f6,automotivo,59,523,1,2550,35,20,20
03b29ca1beec2e03e15a3b980c1505ed,perfumaria,43,656,3,100,18,7,11
03d03978afe1dc3c70e611629e8d8fe8,esporte_lazer,35,614,1,1800,15,15,15
03e4e6709b7d6415746769c0bc3e9131,brinquedos,42,762,2,3890,36,28,36
03e931f387c2dd5b006aecdb12515b2e,cama_mesa_banho,55,560,1,650,16,10,16
03fed41c5e9067007d852ff83d602753,brinquedos,46,1107,1,19650,75,76,22
04008f5a086abe248a3c76bc2fa4f4e1,cama_mesa_banho,41,2201,1,1250,48,14,68
040b8534cb74ddaae70c21541f449630,construcao_ferramentas_jardim,42,574,1,13100,68,25,44
040f34fe061b6024771f641fe922e782,relogios_presentes,18,796,2,750,18,10,15
041b5d4393ea83147e2a07e55cd5359c,cama_mesa_banho,40,537,2,3080,23,37,19
0433830caca22b01a0f477d31307b043,portateis_casa_forno_e_cafe,47,2810,7,7450,40,10,40
04433a8021475a2002663f94203c88da,construcao_ferramentas_ferramentas,59,1476,2,1111,29,10,14
044f05bc9de36e8a693a83e4bc79dd0d,telefonia,59,734,4,300,17,4,12
0454c95c31d75e5f86c354896a3d9814,moveis_cozinha_area_de_servico_jantar_e_jardim,44,246,1,25000,98,14,40
045da764883d50dc071cc70c81226cbc,relogios_presentes,51,553,1,213,18,10,19
046cf43a5b63303b3c3c4ba076d1d732,beleza_saude,48,1648,2,350,24,5,21
047c0b8057bd86c48c41d3b582d80c90,informatica_acessorios,55,312,5,4500,19,23,19
048dc5e495c6f5e54f22fa6cd23c3e5f,relogios_presentes,43,597,1,450,22,14,17
0496f30fa502d5454825087842d7a497,brinquedos,31,182,1,250,16,19,19
049ac5dce8536884a652ce73c58022ab,cama_mesa_banho,44,505,1,250,26,6,20
04a67e69edfb208f784da30294f69c5b,esporte_lazer,51,1256,1,1350,26,18,18
04af9f3af5c6afc4eece909c25330934,relogios_presentes,51,475,6,200,16,2,20
04bd5aedb2f07b8078ef7dcbfb79db00,brinquedos,60,1258,3,1600,28,13,21
04c4182bda52366f3c4b8817ddbcd98e,esporte_lazer,61,604,1,250,20,12,16
04c4a4b9c924494fcf82e0fba966f955,relogios_presentes,39,364,1,567,26,12,26
04d70d184a7c12c93cecd9c0d8b5ad69,beleza_saude,60,918,1,150,22,3,15
04dc26a02c448f6f2b914f01c2902ebd,consoles_games,50,361,1,483,24,17,23
04df667e73ca2fab4b9a97c86466b699,relogios_presentes,34,541,1,404,22,14,17
04f92f94955d380b722ed941f2e6e51c,eletroportateis,52,698,4,3125,18,30,38
04f9ba792a88dcfa0a4ecadb4d0ad913,esporte_lazer,43,357,2,500,17,31,18
04fa587378a8e74c3b0acc00efecc93e,automotivo,50,829,2,14900,32,47,38
05019bc35fc2ed878c0c0f55346b91c6,beleza_saude,40,344,1,2550,18,16,17
